"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         499,                 0,      -9.222122181,      -6.878243286,      -7.825742431,       -4.90870649,      -7.095378821,      -4.265818984
          1,           0,         499,             0.003,      -9.546288695,       -6.27497016,      -7.251855764,      -4.276963014,     -0.5737600193,        3.22689096
          2,           0,         499,             0.006,      -9.885714642,      -6.402923356,      -7.375690795,      -4.375939468,     -0.7775907539,       3.082455979
          3,           0,         499,             0.009,       -10.1150326,       -6.65918995,       -7.62001163,      -4.600511821,      -6.807827073,      -4.343593039
          4,           0,         499,             0.012,      -10.38477631,      -6.930840404,      -7.886207085,      -4.853118872,      -7.034025987,      -4.603867759
          5,           0,         173,             0.015,      -7.646906395,      -4.420190639,      -5.737800546,      -2.373769526,      -4.394006685,       -1.90886981
          6,           0,           0,             0.018,      -3.428384351,     -0.4041147738,      -1.417630356,       1.577362084,      -1.144546582,       1.830705929
          7,           0,           0,             0.021,      -3.238842783,     -0.5991555256,      -1.380242558,       2.228300851,      -1.232178881,       1.978372405
          8,           0,           0,             0.024,      -3.366393057,     -0.7394185459,      -1.432549369,       2.074492261,      -1.236609934,        1.91053551
          9,           0,           0,             0.027,      -3.516395931,     -0.7699242899,      -1.410187505,       1.907606468,       -1.23465394,       1.871261482
         10,           0,           0,              0.03,      -3.603580057,     -0.7659685545,      -1.398139468,       1.833875251,      -1.230648729,       1.819692179
         11,           0,           0,             0.033,      -3.622094189,     -0.7595460349,      -1.414124571,       1.844305692,      -1.225376178,       1.734068975
         12,           0,           0,             0.036,      -3.628031876,     -0.7626785822,      -1.443173536,       1.857582365,      -1.219716566,       1.625991081
         13,           0,           0,             0.039,      -3.643089595,     -0.7766961396,      -1.476662826,       1.852956674,      -1.214880519,       1.515149744
         14,           0,           0,             0.042,      -3.669311968,     -0.7995354031,      -1.515297619,       1.831338558,      -1.211337157,       1.417722721
         15,           0,           0,             0.045,      -3.707265729,     -0.8287406352,      -1.561604381,       1.793834118,      -1.209226191,       1.337339277
         16,           0,           0,             0.048,       -3.75657538,     -0.8617848523,      -1.615374838,       1.741967226,      -1.208252825,        1.26541174
         17,           0,           0,             0.051,      -3.814117322,      -0.896169051,      -1.673129992,        1.67978342,       -1.20842174,       1.192527791
